ID;Edad;Ingresos_Anuales;Historial_Crediticio;Monto_Prestamo_Solicitado;Plazo_Prestamo_Años;Número_Creditos_Previos;Empleo;Tasa_Interes;Decision_Final
47;39; $12.816.033 ;1; $2.324.557 ;7;1;empleado;4,2%;VERDADERO
48;45; $3.926.353 ;0; $1.188.464 ;8;5;desempleado;12,6%;FALSO
49;25; $12.591.502 ;0; $3.832.857 ;9;4;empleado;12,9%;FALSO
50;54; $2.589.740 ;0; $4.415.231 ;11;9;desempleado;13,4%;FALSO
51;34; $11.155.798 ;1; $4.572.716 ;11;3;autónomo;5,7%;VERDADERO
52;29; $7.300.892 ;0; $2.256.915 ;2;2;autónomo;7,0%;FALSO
53;34; $3.813.340 ;0; $1.622.419 ;8;11;desempleado;3,9%;FALSO
54;51; $12.052.007 ;1; $1.225.457 ;13;8;autónomo;3,8%;VERDADERO
55;51; $11.102.537 ;0; $3.091.929 ;5;2;empleado;5,4%;FALSO
56;40; $2.725.948 ;1; $1.514.858 ;3;12;desempleado;2,2%;FALSO
57;50; $8.574.118 ;1; $4.469.324 ;1;6;empleado;11,8%;VERDADERO
58;32; $2.834.256 ;1; $2.829.263 ;15;12;desempleado;4,8%;FALSO
59;24; $3.495.781 ;0; $2.781.045 ;9;6;desempleado;1,2%;FALSO
60;28; $4.235.055 ;1; $3.265.217 ;9;12;desempleado;2,6%;FALSO
61;52; $17.750.658 ;0; $4.528.867 ;6;10;empleado;13,4%;FALSO
62;36; $20.594.023 ;0; $2.825.347 ;14;1;autónomo;13,3%;FALSO
63;25; $2.798.081 ;0; $4.627.642 ;13;11;desempleado;13,3%;FALSO
64;27; $10.705.985 ;1; $1.541.937 ;5;9;empleado;4,6%;VERDADERO
65;42; $20.091.494 ;1; $3.629.468 ;15;9;empleado;4,4%;VERDADERO
66;53; $9.067.873 ;0; $3.145.715 ;7;1;empleado;10,9%;FALSO
67;47; $2.671.036 ;1; $2.682.844 ;12;7;desempleado;3,6%;FALSO
68;49; $20.143.044 ;0; $4.358.137 ;7;1;autónomo;7,7%;FALSO
69;36; $6.311.134 ;1; $4.762.479 ;6;11;autónomo;7,4%;VERDADERO
70;48; $19.425.888 ;0; $4.544.767 ;1;8;autónomo;4,5%;FALSO
71;57; $16.606.571 ;1; $4.456.756 ;6;11;autónomo;6,1%;VERDADERO
72;54; $4.047.717 ;0; $4.976.651 ;5;2;desempleado;7,3%;FALSO
73;53; $4.730.998 ;0; $1.836.521 ;2;2;desempleado;6,8%;FALSO
74;41; $14.542.799 ;0; $3.032.532 ;4;12;empleado;5,7%;FALSO
75;40; $9.082.257 ;0; $1.544.504 ;2;7;autónomo;2,2%;FALSO
76;51; $11.765.146 ;1; $1.877.429 ;6;1;autónomo;2,6%;VERDADERO
77;51; $9.265.557 ;0; $3.598.564 ;14;5;empleado;3,1%;FALSO
78;46; $18.739.470 ;0; $4.492.754 ;5;11;empleado;8,1%;FALSO
79;58; $3.109.727 ;1; $3.790.945 ;15;11;desempleado;6,1%;FALSO
80;48; $20.632.630 ;0; $3.816.203 ;15;1;empleado;1,4%;FALSO
81;40; $19.900.183 ;0; $3.797.094 ;5;7;empleado;12,9%;FALSO
82;26; $4.112.027 ;0; $2.943.955 ;10;6;desempleado;1,6%;FALSO
83;43; $6.922.280 ;1; $3.380.290 ;14;10;empleado;10,2%;VERDADERO
84;26; $8.082.442 ;0; $2.300.822 ;3;2;empleado;4,2%;FALSO
85;24; $3.838.571 ;1; $4.050.910 ;9;9;desempleado;13,3%;FALSO
86;56; $12.498.153 ;1; $2.718.517 ;7;10;autónomo;9,2%;VERDADERO
87;53; $19.306.495 ;0; $4.813.561 ;5;11;empleado;3,8%;FALSO
88;57; $15.289.193 ;0; $1.071.826 ;4;1;autónomo;4,6%;FALSO
89;39; $6.518.347 ;0; $3.586.434 ;8;6;empleado;4,4%;FALSO
90;34; $13.809.265 ;0; $2.000.726 ;15;12;empleado;12,3%;FALSO
91;36; $9.802.828 ;0; $2.021.671 ;15;4;empleado;12,4%;FALSO
92;37; $11.301.704 ;1; $4.200.059 ;12;1;autónomo;13,0%;VERDADERO
93;50; $17.612.577 ;0; $4.101.069 ;7;3;autónomo;2,6%;FALSO
94;44; $4.634.100 ;0; $3.817.322 ;8;11;desempleado;4,3%;FALSO
95;52; $14.458.213 ;0; $1.233.128 ;5;12;empleado;8,3%;FALSO
96;44; $4.022.690 ;1; $2.591.706 ;12;8;desempleado;2,9%;FALSO
97;50; $16.941.789 ;0; $2.999.916 ;4;11;empleado;2,6%;FALSO
98;25; $20.504.198 ;1; $4.149.101 ;7;4;empleado;0,9%;VERDADERO
99;58; $19.779.000 ;1; $1.702.141 ;10;1;autónomo;2,2%;VERDADERO
100;40; $13.164.300 ;1; $4.897.060 ;4;10;autónomo;11,0%;VERDADERO
101;41; $3.768.080 ;1; $3.776.959 ;1;11;desempleado;2,5%;FALSO
102;39; $14.294.734 ;1; $4.840.584 ;12;2;empleado;8,8%;VERDADERO
103;34; $20.129.334 ;1; $1.955.674 ;12;10;autónomo;9,1%;VERDADERO
104;43; $12.185.439 ;0; $1.377.696 ;11;5;empleado;13,3%;FALSO
105;32; $4.385.966 ;1; $2.227.409 ;3;10;desempleado;1,4%;FALSO
106;35; $3.519.222 ;1; $1.044.428 ;7;3;desempleado;6,3%;FALSO
107;60; $10.475.283 ;1; $1.837.297 ;14;11;empleado;3,9%;VERDADERO
108;21; $8.162.885 ;1; $2.983.536 ;1;2;autónomo;1,4%;VERDADERO
109;48; $2.579.712 ;0; $4.728.557 ;5;12;desempleado;7,6%;FALSO
110;58; $15.795.234 ;1; $4.378.545 ;10;2;autónomo;6,9%;VERDADERO
111;42; $3.118.011 ;0; $938.284 ;10;4;desempleado;4,9%;FALSO
112;38; $2.408.554 ;1; $4.454.956 ;5;3;desempleado;1,3%;FALSO
113;52; $3.866.472 ;1; $4.074.663 ;15;7;desempleado;10,7%;FALSO
114;33; $15.103.486 ;0; $2.162.770 ;2;12;empleado;9,6%;FALSO
115;24; $11.855.232 ;0; $4.591.944 ;9;5;empleado;3,1%;FALSO
116;48; $14.918.105 ;0; $1.870.413 ;1;5;autónomo;4,4%;FALSO
117;48; $4.203.931 ;0; $2.192.538 ;11;5;desempleado;9,7%;FALSO
118;52; $11.168.155 ;1; $1.774.810 ;12;4;autónomo;6,3%;VERDADERO
119;32; $18.122.437 ;0; $4.368.626 ;6;10;autónomo;4,1%;FALSO
120;54; $3.613.640 ;1; $4.736.236 ;3;3;desempleado;4,3%;FALSO
121;26; $14.956.118 ;0; $1.055.836 ;7;7;autónomo;7,4%;FALSO
122;58; $19.621.203 ;0; $2.727.650 ;2;6;empleado;5,9%;FALSO
123;38; $8.286.656 ;1; $1.602.887 ;7;4;autónomo;5,9%;VERDADERO
124;47; $18.516.655 ;0; $3.816.141 ;11;3;autónomo;12,9%;FALSO
125;31; $18.531.877 ;1; $3.727.433 ;15;10;empleado;12,3%;VERDADERO
126;44; $9.318.787 ;1; $4.618.259 ;14;7;empleado;1,7%;VERDADERO
127;33; $4.380.568 ;0; $4.923.862 ;2;6;desempleado;2,7%;FALSO
128;59; $3.649.308 ;0; $807.972 ;4;10;desempleado;7,2%;FALSO
129;27; $13.492.126 ;1; $3.172.504 ;6;9;autónomo;5,1%;VERDADERO
130;25; $19.909.614 ;1; $4.972.304 ;9;8;empleado;4,4%;VERDADERO
131;53; $3.497.896 ;1; $3.588.934 ;10;5;desempleado;13,4%;FALSO
132;37; $18.860.933 ;1; $1.259.579 ;7;12;autónomo;5,6%;VERDADERO
133;46; $7.973.647 ;0; $2.773.501 ;1;4;empleado;7,6%;FALSO
134;22; $7.213.340 ;0; $2.343.288 ;2;11;autónomo;9,8%;FALSO
135;31; $18.040.729 ;0; $4.638.500 ;4;3;autónomo;6,0%;FALSO
136;30; $3.781.049 ;0; $827.022 ;7;7;desempleado;12,3%;FALSO
137;47; $4.282.953 ;1; $3.412.226 ;5;12;desempleado;6,9%;FALSO
138;36; $4.558.913 ;1; $2.031.524 ;9;6;desempleado;11,4%;FALSO
139;43; $17.877.047 ;1; $4.288.471 ;10;3;autónomo;13,1%;VERDADERO
140;38; $3.044.287 ;1; $1.091.218 ;4;2;desempleado;10,4%;FALSO
141;47; $20.805.344 ;1; $2.849.124 ;15;1;autónomo;13,1%;VERDADERO
142;57; $19.213.773 ;1; $948.972 ;9;5;autónomo;10,7%;VERDADERO
143;43; $6.370.770 ;1; $974.613 ;3;12;empleado;1,8%;VERDADERO
144;55; $9.566.471 ;0; $1.900.883 ;7;8;autónomo;2,1%;FALSO
145;56; $15.027.879 ;1; $2.258.355 ;6;7;empleado;1,4%;VERDADERO
146;54; $3.313.479 ;0; $1.590.128 ;13;11;desempleado;10,8%;FALSO
147;50; $19.378.643 ;0; $2.586.777 ;10;1;autónomo;1,1%;FALSO
148;37; $4.143.973 ;1; $4.183.208 ;9;5;desempleado;5,6%;FALSO
149;37; $11.309.923 ;1; $1.681.311 ;11;6;autónomo;12,2%;VERDADERO
150;47; $6.757.410 ;1; $2.156.796 ;12;5;autónomo;5,8%;VERDADERO
151;31; $16.714.976 ;0; $4.366.260 ;13;4;empleado;7,5%;FALSO
152;55; $9.801.406 ;0; $3.695.618 ;4;2;empleado;7,8%;FALSO
153;38; $4.176.363 ;0; $4.498.764 ;3;9;desempleado;4,7%;FALSO
154;45; $16.238.224 ;1; $3.898.546 ;10;7;empleado;11,4%;VERDADERO
155;58; $8.855.232 ;1; $1.439.240 ;9;12;empleado;4,9%;VERDADERO
156;46; $7.402.114 ;0; $3.054.366 ;13;5;empleado;1,7%;FALSO
157;57; $14.722.321 ;0; $4.463.679 ;15;5;empleado;0,8%;FALSO
158;26; $20.725.819 ;1; $4.643.148 ;15;12;empleado;2,1%;VERDADERO
159;32; $18.661.110 ;0; $1.608.856 ;8;6;empleado;7,0%;FALSO
160;53; $12.024.372 ;0; $3.009.428 ;5;5;empleado;12,7%;FALSO
161;36; $12.422.274 ;1; $3.353.206 ;8;9;empleado;10,4%;VERDADERO
162;40; $12.829.175 ;0; $2.379.154 ;4;4;empleado;7,3%;FALSO
163;57; $7.440.884 ;1; $2.456.181 ;4;9;autónomo;2,9%;VERDADERO
164;26; $2.464.289 ;1; $3.154.445 ;13;10;desempleado;4,4%;FALSO
165;34; $12.624.363 ;1; $4.177.380 ;3;12;empleado;6,1%;VERDADERO
166;57; $15.201.059 ;0; $3.737.648 ;11;4;empleado;9,5%;FALSO
167;38; $18.190.458 ;0; $2.100.174 ;8;5;empleado;7,6%;FALSO
168;60; $10.246.279 ;0; $4.285.960 ;8;7;autónomo;10,8%;FALSO
169;27; $4.746.627 ;1; $4.625.310 ;4;2;desempleado;8,9%;FALSO
170;51; $2.692.963 ;0; $3.041.436 ;2;11;desempleado;5,1%;FALSO
171;30; $2.848.794 ;1; $3.905.302 ;12;7;desempleado;4,7%;FALSO
172;27; $17.552.993 ;0; $1.149.227 ;11;5;empleado;5,2%;FALSO
173;55; $12.605.743 ;0; $1.229.425 ;7;8;empleado;3,0%;FALSO
174;33; $4.657.390 ;1; $1.347.642 ;6;7;desempleado;11,2%;FALSO
175;48; $6.762.503 ;0; $4.659.706 ;15;6;empleado;10,8%;FALSO
176;57; $2.617.739 ;0; $4.929.438 ;13;12;desempleado;3,5%;FALSO
177;47; $4.136.893 ;1; $1.077.322 ;8;3;desempleado;8,2%;FALSO
178;26; $16.437.160 ;0; $4.462.830 ;14;1;empleado;4,5%;FALSO
179;21; $6.468.918 ;0; $3.717.424 ;11;4;empleado;10,8%;FALSO
180;27; $3.875.298 ;1; $1.282.926 ;9;5;desempleado;11,2%;FALSO
181;31; $6.723.522 ;1; $3.173.846 ;9;4;autónomo;1,6%;VERDADERO
182;34; $6.426.927 ;1; $2.786.827 ;7;7;autónomo;12,7%;VERDADERO
183;44; $4.300.396 ;1; $2.032.469 ;14;10;desempleado;5,8%;FALSO
184;23; $4.409.900 ;1; $2.536.496 ;6;9;desempleado;12,3%;FALSO
185;47; $3.369.414 ;1; $3.616.746 ;2;2;desempleado;7,4%;FALSO
186;44; $17.599.289 ;1; $4.551.624 ;4;7;autónomo;7,3%;VERDADERO
187;27; $2.593.872 ;1; $2.665.260 ;10;12;desempleado;1,4%;FALSO
188;41; $6.308.634 ;1; $4.587.226 ;6;6;empleado;9,2%;VERDADERO
189;27; $3.512.626 ;1; $1.102.007 ;5;9;desempleado;1,6%;FALSO
190;27; $14.650.771 ;0; $3.885.040 ;5;9;autónomo;3,1%;FALSO
191;33; $14.518.434 ;0; $4.357.282 ;14;5;autónomo;11,9%;FALSO
192;38; $18.680.942 ;0; $4.811.016 ;4;7;empleado;1,0%;FALSO
193;22; $3.258.043 ;1; $1.226.415 ;3;7;desempleado;12,6%;FALSO
194;40; $16.108.335 ;0; $3.468.514 ;10;9;empleado;3,9%;FALSO
195;60; $11.232.473 ;0; $1.143.979 ;2;9;autónomo;3,4%;FALSO
196;38; $4.114.517 ;1; $1.707.424 ;14;4;desempleado;7,2%;FALSO
197;44; $19.743.251 ;1; $3.742.423 ;1;7;autónomo;13,5%;VERDADERO
198;32; $4.111.959 ;1; $2.658.759 ;1;4;desempleado;1,4%;FALSO
199;51; $13.918.711 ;1; $3.065.290 ;11;8;empleado;7,1%;VERDADERO
200;43; $20.532.868 ;1; $1.254.707 ;15;6;empleado;11,6%;VERDADERO
201;25; $7.566.220 ;0; $2.602.009 ;15;3;empleado;11,4%;FALSO
202;22; $2.588.376 ;1; $3.651.632 ;13;11;desempleado;6,1%;FALSO
203;24; $8.005.917 ;0; $4.881.484 ;14;1;autónomo;12,4%;FALSO
204;48; $4.539.108 ;0; $4.082.785 ;5;2;desempleado;6,9%;FALSO
205;34; $3.449.119 ;1; $1.609.878 ;10;10;desempleado;8,7%;FALSO
206;50; $10.080.293 ;1; $1.631.352 ;4;4;empleado;8,1%;VERDADERO
207;31; $12.353.527 ;0; $2.233.056 ;13;9;empleado;12,9%;FALSO
208;49; $19.634.003 ;0; $1.542.436 ;5;7;autónomo;12,7%;FALSO
209;25; $3.246.466 ;0; $1.543.835 ;8;5;desempleado;8,7%;FALSO
210;52; $16.775.633 ;0; $1.184.822 ;12;2;autónomo;8,3%;FALSO
211;21; $10.158.786 ;0; $3.139.667 ;7;8;empleado;4,1%;FALSO
212;31; $18.871.607 ;0; $1.998.486 ;4;6;autónomo;13,5%;FALSO
213;44; $11.088.805 ;0; $2.332.740 ;8;10;empleado;3,6%;FALSO
214;30; $14.821.274 ;1; $2.021.512 ;10;10;autónomo;4,8%;VERDADERO
215;36; $9.648.302 ;0; $4.433.545 ;1;6;autónomo;13,3%;FALSO
216;28; $18.496.702 ;1; $1.440.497 ;1;11;autónomo;8,6%;VERDADERO
217;45; $3.514.255 ;1; $2.449.207 ;10;4;desempleado;3,6%;FALSO
218;56; $15.812.360 ;0; $2.119.869 ;6;3;autónomo;5,3%;FALSO
219;31; $4.626.786 ;0; $3.313.877 ;2;11;desempleado;2,9%;FALSO
220;26; $7.366.403 ;0; $1.550.811 ;5;10;empleado;7,8%;FALSO
221;38; $16.613.846 ;1; $1.830.064 ;15;12;empleado;12,8%;VERDADERO
222;50; $17.029.334 ;1; $2.286.674 ;11;6;empleado;12,7%;VERDADERO
223;29; $12.321.694 ;1; $1.407.219 ;9;1;autónomo;9,0%;VERDADERO
224;36; $11.882.059 ;1; $1.282.642 ;14;10;autónomo;12,9%;VERDADERO
225;35; $16.261.845 ;0; $1.517.656 ;13;4;autónomo;12,1%;FALSO
226;53; $3.318.270 ;0; $4.970.319 ;6;4;desempleado;3,2%;FALSO
227;57; $3.844.418 ;0; $3.671.651 ;10;1;desempleado;2,9%;FALSO
228;29; $3.462.117 ;0; $3.911.761 ;2;3;desempleado;10,3%;FALSO
229;43; $2.831.944 ;0; $1.385.236 ;9;4;desempleado;9,1%;FALSO
230;27; $11.662.724 ;1; $1.056.415 ;10;12;autónomo;0,9%;VERDADERO
231;48; $20.415.561 ;0; $4.428.250 ;8;6;empleado;12,9%;FALSO
232;55; $4.705.024 ;0; $2.727.532 ;12;1;desempleado;3,5%;FALSO
233;36; $3.466.233 ;1; $3.967.284 ;8;7;desempleado;6,7%;FALSO
234;28; $10.812.116 ;1; $2.384.136 ;9;5;empleado;7,9%;VERDADERO
235;60; $6.020.448 ;0; $2.248.070 ;7;1;empleado;9,4%;FALSO
236;24; $2.998.134 ;0; $4.052.453 ;14;3;desempleado;13,2%;FALSO
237;21; $17.167.435 ;1; $4.914.245 ;2;6;empleado;5,8%;VERDADERO
238;24; $20.817.031 ;1; $1.821.591 ;3;1;empleado;11,6%;VERDADERO
239;22; $18.151.800 ;1; $4.551.169 ;7;6;empleado;5,4%;VERDADERO
240;50; $2.970.360 ;0; $2.666.276 ;5;6;desempleado;9,4%;FALSO
241;29; $17.236.070 ;1; $1.534.096 ;10;2;autónomo;3,2%;VERDADERO
242;28; $20.862.120 ;1; $4.720.425 ;10;11;autónomo;12,7%;VERDADERO
243;38; $3.279.432 ;1; $3.045.669 ;2;7;desempleado;9,6%;FALSO
244;26; $9.518.045 ;0; $3.111.521 ;15;9;autónomo;8,0%;FALSO
245;32; $4.308.430 ;1; $3.104.067 ;5;4;desempleado;3,3%;FALSO
246;35; $12.636.674 ;1; $1.912.955 ;10;7;empleado;9,5%;VERDADERO
247;60; $2.644.664 ;0; $3.399.967 ;10;7;desempleado;6,1%;FALSO
248;41; $3.945.418 ;0; $1.649.828 ;5;10;desempleado;9,5%;FALSO
249;33; $12.566.975 ;0; $1.975.516 ;3;5;autónomo;12,6%;FALSO
250;25; $8.091.212 ;1; $3.579.227 ;2;2;empleado;3,5%;VERDADERO
251;26; $2.629.942 ;1; $3.663.824 ;10;3;desempleado;11,6%;FALSO
252;42; $10.560.892 ;1; $2.549.240 ;9;6;autónomo;11,6%;VERDADERO
253;22; $4.798.080 ;1; $3.318.046 ;2;6;desempleado;7,1%;FALSO
254;33; $10.893.751 ;1; $4.439.807 ;15;12;autónomo;1,0%;VERDADERO
255;59; $13.742.143 ;1; $3.624.136 ;8;9;empleado;8,2%;VERDADERO
256;54; $13.038.030 ;0; $1.807.100 ;12;2;autónomo;4,5%;FALSO
257;22; $8.974.724 ;1; $3.227.824 ;5;12;autónomo;12,5%;VERDADERO
258;36; $3.935.294 ;1; $4.843.112 ;3;11;desempleado;6,3%;FALSO
259;21; $17.850.236 ;0; $4.690.550 ;1;3;autónomo;2,4%;FALSO
260;42; $10.374.640 ;0; $1.889.617 ;15;7;autónomo;9,1%;FALSO
261;59; $3.952.231 ;0; $3.643.834 ;3;8;desempleado;8,5%;FALSO
262;46; $10.593.216 ;1; $3.590.142 ;6;11;autónomo;5,5%;VERDADERO
263;60; $9.509.273 ;1; $2.798.384 ;4;3;autónomo;3,0%;VERDADERO
264;30; $3.404.592 ;1; $2.261.196 ;7;4;desempleado;2,3%;FALSO
265;22; $13.955.917 ;1; $2.107.181 ;13;11;autónomo;0,8%;VERDADERO
266;28; $19.017.819 ;0; $1.898.418 ;2;9;autónomo;11,8%;FALSO
267;43; $16.848.149 ;0; $3.455.439 ;9;3;autónomo;8,8%;FALSO
268;44; $6.782.134 ;1; $4.286.523 ;10;8;empleado;9,7%;VERDADERO
269;53; $3.047.023 ;0; $3.539.267 ;12;12;desempleado;6,7%;FALSO
270;43; $11.856.138 ;0; $4.312.958 ;13;1;autónomo;7,5%;FALSO
271;37; $10.758.359 ;0; $4.078.221 ;1;11;empleado;2,4%;FALSO
272;58; $6.127.076 ;1; $3.061.404 ;2;7;empleado;6,6%;VERDADERO
273;29; $4.201.013 ;1; $899.845 ;2;5;desempleado;4,5%;FALSO
274;27; $6.454.184 ;0; $3.249.571 ;13;8;empleado;3,4%;FALSO
275;23; $12.811.128 ;0; $1.082.335 ;13;7;autónomo;1,7%;FALSO
276;25; $15.444.869 ;1; $2.848.572 ;13;3;empleado;11,3%;VERDADERO
277;28; $17.839.285 ;1; $1.676.242 ;1;12;autónomo;12,7%;VERDADERO
278;27; $4.218.552 ;1; $1.165.328 ;9;3;desempleado;1,1%;FALSO
279;55; $2.592.628 ;0; $2.848.789 ;10;11;desempleado;10,2%;FALSO
280;55; $3.725.569 ;1; $3.711.873 ;10;10;desempleado;1,9%;FALSO
281;47; $4.403.039 ;0; $3.500.117 ;13;12;desempleado;7,4%;FALSO
282;52; $8.360.303 ;1; $4.943.870 ;1;1;autónomo;10,4%;VERDADERO
283;31; $11.543.035 ;0; $3.013.464 ;12;2;autónomo;10,8%;FALSO
284;37; $20.798.049 ;1; $4.258.684 ;13;1;empleado;9,2%;VERDADERO
285;37; $7.056.898 ;1; $4.296.744 ;3;8;autónomo;1,9%;VERDADERO
286;40; $17.948.598 ;0; $4.707.206 ;3;5;empleado;5,6%;FALSO
287;37; $4.171.798 ;0; $4.645.589 ;15;7;desempleado;6,9%;FALSO
288;47; $2.977.516 ;1; $3.192.725 ;15;8;desempleado;10,1%;FALSO
289;51; $17.744.140 ;1; $4.090.571 ;11;2;autónomo;2,4%;VERDADERO
290;37; $3.532.329 ;1; $3.645.658 ;15;10;desempleado;1,6%;FALSO
291;27; $6.184.848 ;0; $2.910.925 ;4;6;empleado;1,3%;FALSO
292;48; $14.194.212 ;1; $2.308.599 ;5;10;empleado;0,9%;VERDADERO
293;55; $8.103.478 ;0; $990.376 ;6;8;empleado;2,2%;FALSO
294;37; $18.124.973 ;1; $2.493.250 ;4;4;empleado;5,8%;VERDADERO
295;44; $2.527.392 ;0; $1.085.861 ;4;5;desempleado;1,0%;FALSO
296;56; $2.985.631 ;0; $1.737.134 ;6;10;desempleado;3,0%;FALSO
297;57; $14.161.605 ;1; $2.846.734 ;4;3;autónomo;5,5%;VERDADERO
298;26; $4.313.775 ;1; $1.586.747 ;6;2;desempleado;2,1%;FALSO
299;47; $16.940.021 ;0; $3.504.681 ;3;5;empleado;9,9%;FALSO
300;28; $16.958.318 ;0; $1.039.582 ;8;9;autónomo;10,3%;FALSO
301;48; $7.331.704 ;1; $2.613.633 ;3;12;autónomo;9,6%;VERDADERO
302;27; $16.485.407 ;1; $1.725.909 ;2;8;empleado;3,1%;VERDADERO
303;48; $11.402.572 ;1; $3.488.110 ;5;2;empleado;8,2%;VERDADERO
304;34; $12.482.621 ;1; $1.082.663 ;12;3;autónomo;10,7%;VERDADERO
305;32; $9.736.488 ;1; $1.076.554 ;2;6;empleado;6,4%;VERDADERO
306;27; $6.787.415 ;0; $3.007.385 ;13;9;autónomo;8,5%;FALSO
307;33; $3.729.687 ;0; $4.440.162 ;15;11;desempleado;5,4%;FALSO
308;35; $19.681.571 ;0; $1.228.318 ;15;11;empleado;6,8%;FALSO
309;42; $12.528.109 ;0; $1.270.128 ;7;4;autónomo;4,0%;FALSO
310;31; $4.528.900 ;0; $4.553.091 ;10;1;desempleado;12,0%;FALSO
311;57; $12.876.535 ;0; $925.114 ;15;12;empleado;5,2%;FALSO
312;41; $6.386.700 ;1; $3.171.556 ;5;8;empleado;0,9%;VERDADERO
313;21; $16.757.545 ;1; $2.852.816 ;15;9;autónomo;2,4%;VERDADERO
314;50; $20.906.123 ;1; $3.508.093 ;8;1;autónomo;6,7%;VERDADERO
315;25; $2.612.933 ;0; $2.161.932 ;6;1;desempleado;2,0%;FALSO
316;35; $2.900.604 ;1; $1.693.223 ;7;9;desempleado;11,7%;FALSO
317;32; $3.843.234 ;0; $3.248.981 ;10;11;desempleado;0,9%;FALSO
318;49; $6.216.184 ;0; $2.251.805 ;15;1;autónomo;4,8%;FALSO
319;39; $3.438.476 ;0; $4.355.941 ;8;4;desempleado;5,5%;FALSO
