ID;Edad;Ingresos_Anuales;Historial_Crediticio;Monto_Prestamo_Solicitado;Plazo_Prestamo_Años;Número_Creditos_Previos;Empleo;Tasa_Interes;Decision_Final
125;31;18531877;1;3727433;15;10;1;12,3;1
126;44;9318787;1;4618259;14;7;1;1,7;1
127;33;4380568;0;4923862;2;6;2;2,7;0
128;59;3649308;0;807972;4;10;2;7,2;0
129;27;13492126;1;3172504;6;9;3;5,1;1
130;25;19909614;1;4972304;9;8;1;4,4;1
131;53;3497896;1;3588934;10;5;2;13,4;0
132;37;18860933;1;1259579;7;12;3;5,6;1
133;46;7973647;0;2773501;1;4;1;7,6;0
134;22;7213340;0;2343288;2;11;3;9,8;0
135;31;18040729;0;4638500;4;3;3;6;0
136;30;3781049;0;827022;7;7;2;12,3;0
137;47;4282953;1;3412226;5;12;2;6,9;0
138;36;4558913;1;2031524;9;6;2;11,4;0
139;43;17877047;1;4288471;10;3;3;13,1;1
140;38;3044287;1;1091218;4;2;2;10,4;0
141;47;20805344;1;2849124;15;1;3;13,1;1
142;57;19213773;1;948972;9;5;3;10,7;1
143;43;6370770;1;974613;3;12;1;1,8;1
144;55;9566471;0;1900883;7;8;3;2,1;0
145;56;15027879;1;2258355;6;7;1;1,4;1
146;54;3313479;0;1590128;13;11;2;10,8;0
147;50;19378643;0;2586777;10;1;3;1,1;0
148;37;4143973;1;4183208;9;5;2;5,6;0
149;37;11309923;1;1681311;11;6;3;12,2;1
150;47;6757410;1;2156796;12;5;3;5,8;1
151;31;16714976;0;4366260;13;4;1;7,5;0
152;55;9801406;0;3695618;4;2;1;7,8;0
153;38;4176363;0;4498764;3;9;2;4,7;0
154;45;16238224;1;3898546;10;7;1;11,4;1
155;58;8855232;1;1439240;9;12;1;4,9;1
156;46;7402114;0;3054366;13;5;1;1,7;0
157;57;14722321;0;4463679;15;5;1;0,8;0
158;26;20725819;1;4643148;15;12;1;2,1;1
159;32;18661110;0;1608856;8;6;1;7;0
160;53;12024372;0;3009428;5;5;1;12,7;0
161;36;12422274;1;3353206;8;9;1;10,4;1
162;40;12829175;0;2379154;4;4;1;7,3;0
163;57;7440884;1;2456181;4;9;3;2,9;1
164;26;2464289;1;3154445;13;10;2;4,4;0
165;34;12624363;1;4177380;3;12;1;6,1;1
166;57;15201059;0;3737648;11;4;1;9,5;0
167;38;18190458;0;2100174;8;5;1;7,6;0
168;60;10246279;0;4285960;8;7;3;10,8;0
169;27;4746627;1;4625310;4;2;2;8,9;0
170;51;2692963;0;3041436;2;11;2;5,1;0
171;30;2848794;1;3905302;12;7;2;4,7;0
172;27;17552993;0;1149227;11;5;1;5,2;0
173;55;12605743;0;1229425;7;8;1;3;0
174;33;4657390;1;1347642;6;7;2;11,2;0
175;48;6762503;0;4659706;15;6;1;10,8;0
176;57;2617739;0;4929438;13;12;2;3,5;0
177;47;4136893;1;1077322;8;3;2;8,2;0
178;26;16437160;0;4462830;14;1;1;4,5;0
179;21;6468918;0;3717424;11;4;1;10,8;0
180;27;3875298;1;1282926;9;5;2;11,2;0
181;31;6723522;1;3173846;9;4;3;1,6;1
182;34;6426927;1;2786827;7;7;3;12,7;1
183;44;4300396;1;2032469;14;10;2;5,8;0
184;23;4409900;1;2536496;6;9;2;12,3;0
185;47;3369414;1;3616746;2;2;2;7,4;0
186;44;17599289;1;4551624;4;7;3;7,3;1
187;27;2593872;1;2665260;10;12;2;1,4;0
188;41;6308634;1;4587226;6;6;1;9,2;1
189;27;3512626;1;1102007;5;9;2;1,6;0
190;27;14650771;0;3885040;5;9;3;3,1;0
191;33;14518434;0;4357282;14;5;3;11,9;0
192;38;18680942;0;4811016;4;7;1;1;0
193;22;3258043;1;1226415;3;7;2;12,6;0
194;40;16108335;0;3468514;10;9;1;3,9;0
195;60;11232473;0;1143979;2;9;3;3,4;0
196;38;4114517;1;1707424;14;4;2;7,2;0
197;44;19743251;1;3742423;1;7;3;13,5;1
198;32;4111959;1;2658759;1;4;2;1,4;0
199;51;13918711;1;3065290;11;8;1;7,1;1
200;43;20532868;1;1254707;15;6;1;11,6;1
201;25;7566220;0;2602009;15;3;1;11,4;0
202;22;2588376;1;3651632;13;11;2;6,1;0
203;24;8005917;0;4881484;14;1;3;12,4;0
204;48;4539108;0;4082785;5;2;2;6,9;0
205;34;3449119;1;1609878;10;10;2;8,7;0
206;50;10080293;1;1631352;4;4;1;8,1;1
207;31;12353527;0;2233056;13;9;1;12,9;0
208;49;19634003;0;1542436;5;7;3;12,7;0
209;25;3246466;0;1543835;8;5;2;8,7;0
210;52;16775633;0;1184822;12;2;3;8,3;0
211;21;10158786;0;3139667;7;8;1;4,1;0
212;31;18871607;0;1998486;4;6;3;13,5;0
213;44;11088805;0;2332740;8;10;1;3,6;0
214;30;14821274;1;2021512;10;10;3;4,8;1
215;36;9648302;0;4433545;1;6;3;13,3;0
216;28;18496702;1;1440497;1;11;3;8,6;1
217;45;3514255;1;2449207;10;4;2;3,6;0
218;56;15812360;0;2119869;6;3;3;5,3;0
219;31;4626786;0;3313877;2;11;2;2,9;0
220;26;7366403;0;1550811;5;10;1;7,8;0
221;38;16613846;1;1830064;15;12;1;12,8;1
222;50;17029334;1;2286674;11;6;1;12,7;1
223;29;12321694;1;1407219;9;1;3;9;1
224;36;11882059;1;1282642;14;10;3;12,9;1
225;35;16261845;0;1517656;13;4;3;12,1;0
226;53;3318270;0;4970319;6;4;2;3,2;0
227;57;3844418;0;3671651;10;1;2;2,9;0
228;29;3462117;0;3911761;2;3;2;10,3;0
229;43;2831944;0;1385236;9;4;2;9,1;0
230;27;11662724;1;1056415;10;12;3;0,9;1
231;48;20415561;0;4428250;8;6;1;12,9;0
232;55;4705024;0;2727532;12;1;2;3,5;0
233;36;3466233;1;3967284;8;7;2;6,7;0
234;28;10812116;1;2384136;9;5;1;7,9;1
235;60;6020448;0;2248070;7;1;1;9,4;0
236;24;2998134;0;4052453;14;3;2;13,2;0
237;21;17167435;1;4914245;2;6;1;5,8;1
238;24;20817031;1;1821591;3;1;1;11,6;1
239;22;18151800;1;4551169;7;6;1;5,4;1
240;50;2970360;0;2666276;5;6;2;9,4;0
241;29;17236070;1;1534096;10;2;3;3,2;1
242;28;20862120;1;4720425;10;11;3;12,7;1
243;38;3279432;1;3045669;2;7;2;9,6;0
244;26;9518045;0;3111521;15;9;3;8;0
245;32;4308430;1;3104067;5;4;2;3,3;0
246;35;12636674;1;1912955;10;7;1;9,5;1
247;60;2644664;0;3399967;10;7;2;6,1;0
248;41;3945418;0;1649828;5;10;2;9,5;0
249;33;12566975;0;1975516;3;5;3;12,6;0
250;25;8091212;1;3579227;2;2;1;3,5;1
251;26;2629942;1;3663824;10;3;2;11,6;0
252;42;10560892;1;2549240;9;6;3;11,6;1
253;22;4798080;1;3318046;2;6;2;7,1;0
254;33;10893751;1;4439807;15;12;3;1;1
255;59;13742143;1;3624136;8;9;1;8,2;1
256;54;13038030;0;1807100;12;2;3;4,5;0
257;22;8974724;1;3227824;5;12;3;12,5;1
258;36;3935294;1;4843112;3;11;2;6,3;0
259;21;17850236;0;4690550;1;3;3;2,4;0
260;42;10374640;0;1889617;15;7;3;9,1;0
261;59;3952231;0;3643834;3;8;2;8,5;0
262;46;10593216;1;3590142;6;11;3;5,5;1
263;60;9509273;1;2798384;4;3;3;3;1
264;30;3404592;1;2261196;7;4;2;2,3;0
265;22;13955917;1;2107181;13;11;3;0,8;1
266;28;19017819;0;1898418;2;9;3;11,8;0
267;43;16848149;0;3455439;9;3;3;8,8;0
268;44;6782134;1;4286523;10;8;1;9,7;1
269;53;3047023;0;3539267;12;12;2;6,7;0
270;43;11856138;0;4312958;13;1;3;7,5;0
271;37;10758359;0;4078221;1;11;1;2,4;0
272;58;6127076;1;3061404;2;7;1;6,6;1
273;29;4201013;1;899845;2;5;2;4,5;0
274;27;6454184;0;3249571;13;8;1;3,4;0
275;23;12811128;0;1082335;13;7;3;1,7;0
276;25;15444869;1;2848572;13;3;1;11,3;1
277;28;17839285;1;1676242;1;12;3;12,7;1
278;27;4218552;1;1165328;9;3;2;1,1;0
279;55;2592628;0;2848789;10;11;2;10,2;0
280;55;3725569;1;3711873;10;10;2;1,9;0
281;47;4403039;0;3500117;13;12;2;7,4;0
282;52;8360303;1;4943870;1;1;3;10,4;1
283;31;11543035;0;3013464;12;2;3;10,8;0
284;37;20798049;1;4258684;13;1;1;9,2;1
285;37;7056898;1;4296744;3;8;3;1,9;1
286;40;17948598;0;4707206;3;5;1;5,6;0
287;37;4171798;0;4645589;15;7;2;6,9;0
288;47;2977516;1;3192725;15;8;2;10,1;0
289;51;17744140;1;4090571;11;2;3;2,4;1
290;37;3532329;1;3645658;15;10;2;1,6;0
291;27;6184848;0;2910925;4;6;1;1,3;0
292;48;14194212;1;2308599;5;10;1;0,9;1
293;55;8103478;0;990376;6;8;1;2,2;0
294;37;18124973;1;2493250;4;4;1;5,8;1
295;44;2527392;0;1085861;4;5;2;1;0
296;56;2985631;0;1737134;6;10;2;3;0
297;57;14161605;1;2846734;4;3;3;5,5;1
298;26;4313775;1;1586747;6;2;2;2,1;0
299;47;16940021;0;3504681;3;5;1;9,9;0
300;28;16958318;0;1039582;8;9;3;10,3;0
301;48;7331704;1;2613633;3;12;3;9,6;1
302;27;16485407;1;1725909;2;8;1;3,1;1
303;48;11402572;1;3488110;5;2;1;8,2;1
304;34;12482621;1;1082663;12;3;3;10,7;1
305;32;9736488;1;1076554;2;6;1;6,4;1
306;27;6787415;0;3007385;13;9;3;8,5;0
307;33;3729687;0;4440162;15;11;2;5,4;0
308;35;19681571;0;1228318;15;11;1;6,8;0
309;42;12528109;0;1270128;7;4;3;4;0
310;31;4528900;0;4553091;10;1;2;12;0
311;57;12876535;0;925114;15;12;1;5,2;0
312;41;6386700;1;3171556;5;8;1;0,9;1
313;21;16757545;1;2852816;15;9;3;2,4;1
314;50;20906123;1;3508093;8;1;3;6,7;1
315;25;2612933;0;2161932;6;1;2;2;0
316;35;2900604;1;1693223;7;9;2;11,7;0
317;32;3843234;0;3248981;10;11;2;0,9;0
318;49;6216184;0;2251805;15;1;3;4,8;0
319;39;3438476;0;4355941;8;4;2;5,5;0
320;47;6984631;0;2442497;3;12;3;2,4;0
321;60;17452169;0;2171606;1;10;1;8,7;0
322;30;8721454;1;4624314;6;7;3;12,9;1
323;55;18891981;0;1789757;10;12;1;8,1;0
324;54;15370377;1;2586515;10;12;1;8,5;1
325;56;10556528;1;4285973;6;10;3;13,4;1
326;23;3757506;1;4786770;4;9;2;7,7;0
327;43;20455544;1;3205066;4;9;3;10,5;1
328;48;16253936;1;872321;3;4;3;4,9;1
329;55;20391355;0;4073709;4;11;3;5,6;0
330;58;3029514;1;2146107;8;6;2;13,4;0
331;49;3626489;1;3898020;11;11;2;12,8;0
332;41;9424746;0;1734884;14;1;3;7,4;0
333;33;9979798;1;4719745;2;10;1;12,7;1
334;29;17628953;0;1245470;14;6;3;0,7;0
335;30;2469934;0;1614618;10;11;2;5,4;0
336;39;4403285;1;1315229;3;6;2;13,2;0
337;41;3824652;1;4227379;7;3;2;8,7;0
338;28;12305500;0;3287505;2;1;1;8,1;0
339;60;20845812;1;2292873;13;9;1;11;1
340;28;15059710;0;4068225;8;5;3;5,5;0
341;32;13013615;0;1291104;6;12;3;6,7;0
342;55;3194246;0;2169392;2;2;2;10;0
343;57;10645901;1;1104666;9;2;1;8,8;1
344;42;4415807;1;3089564;5;12;2;11,4;0
345;59;2700785;1;4934792;14;7;2;12,4;0
346;44;9207221;1;3601878;3;4;3;1,8;1
347;22;2741267;0;2040551;14;2;2;2,1;0
348;38;4113825;0;1260368;9;7;2;1,5;0
349;53;18217101;1;1009341;3;9;1;8,6;1
350;33;14527649;0;2877557;7;10;3;1,8;0
351;57;17615120;1;1401710;10;2;3;4,6;1
352;46;2620715;0;1054425;8;2;2;1,4;0
353;60;14629002;0;2370663;11;6;1;8,9;0
354;41;2941967;1;1539533;8;9;2;1,1;0
355;53;14520491;1;2823523;5;10;1;5,7;1
356;42;20588400;1;1949269;15;12;1;9,7;1
357;44;13846190;0;1614514;3;4;1;6,1;0
358;50;10046049;0;4159133;13;10;3;11;0
359;58;17206783;0;4659027;4;4;3;8,9;0
360;32;17512546;1;4768681;11;9;3;7,9;1
361;31;20456005;1;1935699;6;6;1;8,2;1
362;31;8918954;1;1091238;7;11;3;12,4;1
363;37;10147744;1;2614468;4;1;3;0,7;1
364;25;4576928;1;860145;2;9;2;1,8;0
365;43;2618360;1;3390775;14;5;2;6;0
366;60;20918887;0;1207530;2;9;1;4,3;0
367;43;11180288;1;2969050;9;4;1;7,1;1
368;23;7337877;0;3654862;3;4;3;11,4;0
369;25;15365808;0;2916387;2;12;3;1,6;0
370;43;2949980;0;1239069;14;10;2;10,7;0
371;56;3395870;0;4992624;1;5;2;7,7;0
372;39;11895455;1;1286254;9;3;1;4;1
373;36;6881252;1;3081242;9;12;1;5,4;1
374;56;15197446;1;2396213;4;8;1;10,6;1
375;51;7917404;0;3466241;4;6;1;5,8;0
376;58;4287235;1;1270545;2;11;2;8,9;0
377;37;14906314;1;4547583;11;1;1;2,1;1
378;60;7788395;0;2773457;8;6;3;5,4;0
379;55;20240251;0;4406881;5;5;1;11,9;0
380;33;2640629;0;1064676;4;4;2;12;0
381;52;16605629;1;3836149;4;4;3;4,2;1
382;30;20030923;1;4781011;10;11;1;2,5;1
383;25;11988623;1;2566668;5;10;3;11,3;1
384;39;16604160;0;3128429;9;5;1;0,8;0
385;21;2694854;0;4661401;6;5;2;1,8;0
386;48;4625854;1;3773332;8;6;2;7,2;0
387;23;18931268;0;2843996;1;4;3;12,4;0
388;32;2853263;0;2540243;3;5;2;2,4;0
389;30;9729711;1;2624702;9;10;3;10,3;1
390;44;6017286;1;2265351;10;6;3;1,5;1
391;51;10899401;1;4607844;2;5;1;2,2;1
392;35;20186525;1;973913;3;8;3;12,2;1
393;28;13583420;0;1425545;6;6;3;11,5;0
394;33;18906401;0;1972293;14;9;3;11,6;0
395;48;3841853;0;4173026;13;8;2;5,7;0
396;22;4130749;1;3639987;7;8;2;13;0
397;47;9885112;0;1850908;5;8;3;7,2;0
398;27;10681374;0;3035354;9;10;1;13,3;0
399;38;16419008;0;4330647;4;8;1;4,3;0
400;58;3457511;1;3351236;7;9;2;8,6;0
401;54;12851974;0;2509525;6;9;1;11,2;0
402;53;13017444;0;1962542;3;10;1;5,4;0
403;48;14922752;1;1580066;8;4;3;5;1
404;41;13003242;0;4883341;11;1;3;11,6;0
405;60;3765968;1;4363259;15;3;2;12;0
406;52;4185397;1;2552015;1;7;2;7,6;0
407;27;2520892;1;1055170;9;3;2;5,8;0
408;28;16031636;1;1490576;9;9;1;1,1;1
409;28;20640766;0;4781644;9;1;1;12,1;0
410;28;4620406;0;4574303;12;9;2;7,3;0
411;24;7732778;0;2730919;4;8;3;1,1;0
412;55;11282520;0;1755832;9;12;3;4,6;0
413;55;20472021;0;1347078;15;6;3;6,7;0
414;23;3052079;0;2510399;8;2;2;4;0
415;24;4563146;0;3101741;5;6;2;8,5;0
416;54;19874774;1;2202976;10;8;1;8,4;1
417;35;4165285;1;4087771;8;7;2;5;0
418;56;18173046;0;2686742;3;8;3;11;0
419;31;8986327;0;1828383;15;3;1;12,1;0
420;47;12303593;0;3929782;13;5;3;6,9;0
421;23;18700033;0;2834885;2;8;3;7,7;0
422;47;7241672;0;3082621;6;4;3;7,8;0
423;47;4355910;0;1238451;1;2;2;1,3;0
424;45;4177487;1;2237163;6;12;2;5,1;0
425;32;4075209;1;4281991;9;11;2;3,3;0
426;24;12951953;1;3991583;4;5;3;9,4;1
427;57;3539035;0;2878667;10;6;2;5,8;0
428;47;14296623;1;3417700;14;8;3;9,2;1
429;36;17308830;0;3064033;8;7;3;1;0
430;34;3581572;0;954129;2;2;2;3;0
431;25;16923590;0;1325965;5;6;1;4,2;0
432;38;6426260;1;4542607;10;2;1;12,4;1
433;57;4468506;0;4321386;4;11;2;11,3;0
434;52;20292904;1;1956743;2;3;3;5,1;1
435;35;9702721;0;3585648;8;6;1;2,4;0
436;24;12192168;1;4807341;14;4;3;2,8;1
437;39;20143791;0;3825060;4;8;1;1,6;0
438;25;2778629;1;4934967;3;4;2;12,2;0
439;21;9816714;1;2433483;13;6;1;3,6;1
440;35;4356386;1;913013;9;7;2;11,5;0
441;25;13848702;0;4911037;15;8;3;12,6;0
442;27;15214015;0;2552914;12;11;3;4,8;0
443;46;4441502;1;1929478;7;6;2;13,5;0
444;49;18708719;1;4281536;8;7;1;11,7;1
445;33;7613277;1;3967695;7;10;1;9,6;1
446;25;2968467;1;2999159;9;5;2;6,9;0
447;33;10641311;1;3870377;3;3;1;2,1;1
448;45;4784730;0;1566641;1;7;2;6,3;0
449;45;14163290;0;2527726;12;10;3;7;0
450;39;18192526;1;2954623;6;1;3;7,5;1
451;41;19567768;1;1030442;12;10;1;1,3;1
452;54;15384743;1;3251229;13;12;3;1,2;1
453;51;4319123;1;2597881;6;3;2;8,3;0
454;23;14732682;0;2786031;9;11;1;6,3;0
455;43;3701052;0;1844877;14;7;2;5,9;0
456;22;10257289;1;3405217;9;6;3;9,5;1
457;43;20003996;0;3674373;8;10;1;5,7;0
458;29;17484965;1;1353019;3;11;1;1,4;1
459;56;16788303;1;3330628;11;1;1;11;1
460;43;9921671;0;2606677;11;5;1;10,4;0
461;42;13193409;0;1494948;6;5;1;11,7;0
462;37;14473353;0;4029190;1;3;3;3,2;0
463;52;10826705;0;4752387;5;3;1;3,1;0
464;28;11617468;1;1436712;13;6;3;9,1;1
465;52;17563918;0;2740164;13;2;1;12,9;0
466;45;18363204;1;2147616;7;12;1;4,3;1
467;56;11518694;0;834023;7;9;1;1,1;0
468;32;17027825;0;1835003;7;7;1;5;0
469;50;8581699;0;4151085;15;9;3;1;0
470;57;3316220;0;3592439;9;7;2;4,4;0
471;53;11952502;0;916174;15;3;1;10,5;0
472;26;3260565;0;1660656;9;3;2;5,9;0
473;45;2570193;0;3194850;12;2;2;11,5;0
474;31;9889208;1;4819933;6;10;1;7,5;1
475;60;2558426;1;3748791;4;4;2;7,6;0
476;54;4545038;0;2943967;7;1;2;7,3;0
477;41;3624388;1;3766736;5;1;2;6,2;0
478;59;19558041;0;1874520;11;5;3;13,2;0
479;21;9182643;1;1341184;15;6;1;12;1
480;40;3328082;1;2735019;7;11;2;4,9;0
481;30;13034332;1;995779;2;6;3;11,2;1
482;21;3990535;0;4354304;10;11;2;11,9;0
483;48;6126907;1;2436219;1;9;1;2,9;1
484;49;11867138;1;1928081;13;8;1;12,8;1
485;31;14899091;1;2108739;15;7;3;10;1
486;44;20758585;1;837312;5;3;1;2,9;1
487;31;10133710;0;2602703;7;6;3;12,2;0
488;58;9175851;1;1092210;11;9;1;1;1
489;44;3841645;1;4541637;14;3;2;11,8;0
490;57;4136183;0;2669161;1;4;2;4,4;0
491;28;11158020;1;1961881;4;12;1;3,7;1
492;60;3207300;0;1030681;13;10;2;8,3;0
493;42;7932369;1;901508;9;7;3;6,4;1
494;27;14992105;0;4220457;13;9;3;12,8;0
495;26;17906791;1;4120527;6;12;3;1,8;1
496;37;12390036;1;1626987;1;3;3;8,3;1
497;49;3317303;0;4343143;12;3;2;11,7;0
498;27;10248962;1;4100235;3;12;1;12,3;1
499;42;3077737;1;4941127;13;6;2;2,4;0
500;21;20034014;1;2730159;12;10;3;6,1;1
501;56;12844849;0;2585336;12;11;3;7,5;0
