ID;Edad;Ingresos_Anuales;Historial_Crediticio;Monto_Prestamo_Solicitado;Plazo_Prestamo_Años;Número_Creditos_Previos;Empleo;Tasa_Interes;Decision_Final
32;22;6144592;1;2304154;6;12;empleado;5;VERDADERO
33;48;7178549;0;3736220;14;10;autónomo;2,2;FALSO
34;43;3904234;1;1595180;2;3;desempleado;9,5;FALSO
35;51;16495451;1;2985765;13;6;empleado;10,2;VERDADERO
36;48;12033104;0;1888135;13;4;autónomo;5;FALSO
37;45;6087445;0;2517569;6;6;autónomo;1,5;FALSO
38;56;11603458;0;3123441;15;8;empleado;1,6;FALSO
39;28;10388974;1;2431444;6;6;empleado;3;VERDADERO
40;41;16726670;0;2184798;15;3;empleado;7,6;FALSO
41;49;4326379;0;4364880;8;4;desempleado;2,9;FALSO
42;44;15631116;1;4078817;15;1;empleado;9,9;VERDADERO
43;45;2993156;1;4041953;3;5;desempleado;7,1;FALSO
44;32;14626246;0;4484676;9;7;autónomo;0,8;FALSO
45;57;3747316;0;3657043;15;7;desempleado;12,1;FALSO
46;22;7132470;1;3062025;6;9;empleado;7,3;VERDADERO
47;39;12816033;1;2324557;7;1;empleado;4,2;VERDADERO
48;45;3926353;0;1188464;8;5;desempleado;12,6;FALSO
49;25;12591502;0;3832857;9;4;empleado;12,9;FALSO
50;54;2589740;0;4415231;11;9;desempleado;13,4;FALSO
51;34;11155798;1;4572716;11;3;autónomo;5,7;VERDADERO
52;29;7300892;0;2256915;2;2;autónomo;7;FALSO
53;34;3813340;0;1622419;8;11;desempleado;3,9;FALSO
54;51;12052007;1;1225457;13;8;autónomo;3,8;VERDADERO
55;51;11102537;0;3091929;5;2;empleado;5,4;FALSO
56;40;2725948;1;1514858;3;12;desempleado;2,2;FALSO
57;50;8574118;1;4469324;1;6;empleado;11,8;VERDADERO
58;32;2834256;1;2829263;15;12;desempleado;4,8;FALSO
59;24;3495781;0;2781045;9;6;desempleado;1,2;FALSO
60;28;4235055;1;3265217;9;12;desempleado;2,6;FALSO
61;52;17750658;0;4528867;6;10;empleado;13,4;FALSO
62;36;20594023;0;2825347;14;1;autónomo;13,3;FALSO
63;25;2798081;0;4627642;13;11;desempleado;13,3;FALSO
64;27;10705985;1;1541937;5;9;empleado;4,6;VERDADERO
65;42;20091494;1;3629468;15;9;empleado;4,4;VERDADERO
66;53;9067873;0;3145715;7;1;empleado;10,9;FALSO
67;47;2671036;1;2682844;12;7;desempleado;3,6;FALSO
68;49;20143044;0;4358137;7;1;autónomo;7,7;FALSO
69;36;6311134;1;4762479;6;11;autónomo;7,4;VERDADERO
70;48;19425888;0;4544767;1;8;autónomo;4,5;FALSO
71;57;16606571;1;4456756;6;11;autónomo;6,1;VERDADERO
72;54;4047717;0;4976651;5;2;desempleado;7,3;FALSO
73;53;4730998;0;1836521;2;2;desempleado;6,8;FALSO
74;41;14542799;0;3032532;4;12;empleado;5,7;FALSO
75;40;9082257;0;1544504;2;7;autónomo;2,2;FALSO
76;51;11765146;1;1877429;6;1;autónomo;2,6;VERDADERO
77;51;9265557;0;3598564;14;5;empleado;3,1;FALSO
78;46;18739470;0;4492754;5;11;empleado;8,1;FALSO
79;58;3109727;1;3790945;15;11;desempleado;6,1;FALSO
80;48;20632630;0;3816203;15;1;empleado;1,4;FALSO
81;40;19900183;0;3797094;5;7;empleado;12,9;FALSO
82;26;4112027;0;2943955;10;6;desempleado;1,6;FALSO
83;43;6922280;1;3380290;14;10;empleado;10,2;VERDADERO
84;26;8082442;0;2300822;3;2;empleado;4,2;FALSO
85;24;3838571;1;4050910;9;9;desempleado;13,3;FALSO
86;56;12498153;1;2718517;7;10;autónomo;9,2;VERDADERO
87;53;19306495;0;4813561;5;11;empleado;3,8;FALSO
88;57;15289193;0;1071826;4;1;autónomo;4,6;FALSO
89;39;6518347;0;3586434;8;6;empleado;4,4;FALSO
90;34;13809265;0;2000726;15;12;empleado;12,3;FALSO
91;36;9802828;0;2021671;15;4;empleado;12,4;FALSO
92;37;11301704;1;4200059;12;1;autónomo;13;VERDADERO
93;50;17612577;0;4101069;7;3;autónomo;2,6;FALSO
94;44;4634100;0;3817322;8;11;desempleado;4,3;FALSO
95;52;14458213;0;1233128;5;12;empleado;8,3;FALSO
96;44;4022690;1;2591706;12;8;desempleado;2,9;FALSO
97;50;16941789;0;2999916;4;11;empleado;2,6;FALSO
98;25;20504198;1;4149101;7;4;empleado;0,9;VERDADERO
99;58;19779000;1;1702141;10;1;autónomo;2,2;VERDADERO
100;40;13164300;1;4897060;4;10;autónomo;11;VERDADERO
101;41;3768080;1;3776959;1;11;desempleado;2,5;FALSO
102;39;14294734;1;4840584;12;2;empleado;8,8;VERDADERO
103;34;20129334;1;1955674;12;10;autónomo;9,1;VERDADERO
104;43;12185439;0;1377696;11;5;empleado;13,3;FALSO
105;32;4385966;1;2227409;3;10;desempleado;1,4;FALSO
106;35;3519222;1;1044428;7;3;desempleado;6,3;FALSO
107;60;10475283;1;1837297;14;11;empleado;3,9;VERDADERO
108;21;8162885;1;2983536;1;2;autónomo;1,4;VERDADERO
109;48;2579712;0;4728557;5;12;desempleado;7,6;FALSO
110;58;15795234;1;4378545;10;2;autónomo;6,9;VERDADERO
111;42;3118011;0;938284;10;4;desempleado;4,9;FALSO
112;38;2408554;1;4454956;5;3;desempleado;1,3;FALSO
113;52;3866472;1;4074663;15;7;desempleado;10,7;FALSO
114;33;15103486;0;2162770;2;12;empleado;9,6;FALSO
115;24;11855232;0;4591944;9;5;empleado;3,1;FALSO
116;48;14918105;0;1870413;1;5;autónomo;4,4;FALSO
117;48;4203931;0;2192538;11;5;desempleado;9,7;FALSO
118;52;11168155;1;1774810;12;4;autónomo;6,3;VERDADERO
119;32;18122437;0;4368626;6;10;autónomo;4,1;FALSO
120;54;3613640;1;4736236;3;3;desempleado;4,3;FALSO
121;26;14956118;0;1055836;7;7;autónomo;7,4;FALSO
122;58;19621203;0;2727650;2;6;empleado;5,9;FALSO
123;38;8286656;1;1602887;7;4;autónomo;5,9;VERDADERO
124;47;18516655;0;3816141;11;3;autónomo;12,9;FALSO
125;31;18531877;1;3727433;15;10;empleado;12,3;VERDADERO
126;44;9318787;1;4618259;14;7;empleado;1,7;VERDADERO
127;33;4380568;0;4923862;2;6;desempleado;2,7;FALSO
128;59;3649308;0;807972;4;10;desempleado;7,2;FALSO
129;27;13492126;1;3172504;6;9;autónomo;5,1;VERDADERO
130;25;19909614;1;4972304;9;8;empleado;4,4;VERDADERO
131;53;3497896;1;3588934;10;5;desempleado;13,4;FALSO
132;37;18860933;1;1259579;7;12;autónomo;5,6;VERDADERO
133;46;7973647;0;2773501;1;4;empleado;7,6;FALSO
134;22;7213340;0;2343288;2;11;autónomo;9,8;FALSO
135;31;18040729;0;4638500;4;3;autónomo;6;FALSO
136;30;3781049;0;827022;7;7;desempleado;12,3;FALSO
137;47;4282953;1;3412226;5;12;desempleado;6,9;FALSO
138;36;4558913;1;2031524;9;6;desempleado;11,4;FALSO
139;43;17877047;1;4288471;10;3;autónomo;13,1;VERDADERO
140;38;3044287;1;1091218;4;2;desempleado;10,4;FALSO
141;47;20805344;1;2849124;15;1;autónomo;13,1;VERDADERO
142;57;19213773;1;948972;9;5;autónomo;10,7;VERDADERO
143;43;6370770;1;974613;3;12;empleado;1,8;VERDADERO
144;55;9566471;0;1900883;7;8;autónomo;2,1;FALSO
145;56;15027879;1;2258355;6;7;empleado;1,4;VERDADERO
146;54;3313479;0;1590128;13;11;desempleado;10,8;FALSO
147;50;19378643;0;2586777;10;1;autónomo;1,1;FALSO
148;37;4143973;1;4183208;9;5;desempleado;5,6;FALSO
149;37;11309923;1;1681311;11;6;autónomo;12,2;VERDADERO
150;47;6757410;1;2156796;12;5;autónomo;5,8;VERDADERO
151;31;16714976;0;4366260;13;4;empleado;7,5;FALSO
152;55;9801406;0;3695618;4;2;empleado;7,8;FALSO
153;38;4176363;0;4498764;3;9;desempleado;4,7;FALSO
154;45;16238224;1;3898546;10;7;empleado;11,4;VERDADERO
155;58;8855232;1;1439240;9;12;empleado;4,9;VERDADERO
156;46;7402114;0;3054366;13;5;empleado;1,7;FALSO
157;57;14722321;0;4463679;15;5;empleado;0,8;FALSO
158;26;20725819;1;4643148;15;12;empleado;2,1;VERDADERO
159;32;18661110;0;1608856;8;6;empleado;7;FALSO
160;53;12024372;0;3009428;5;5;empleado;12,7;FALSO
161;36;12422274;1;3353206;8;9;empleado;10,4;VERDADERO
162;40;12829175;0;2379154;4;4;empleado;7,3;FALSO
163;57;7440884;1;2456181;4;9;autónomo;2,9;VERDADERO
164;26;2464289;1;3154445;13;10;desempleado;4,4;FALSO
165;34;12624363;1;4177380;3;12;empleado;6,1;VERDADERO
166;57;15201059;0;3737648;11;4;empleado;9,5;FALSO
167;38;18190458;0;2100174;8;5;empleado;7,6;FALSO
168;60;10246279;0;4285960;8;7;autónomo;10,8;FALSO
169;27;4746627;1;4625310;4;2;desempleado;8,9;FALSO
170;51;2692963;0;3041436;2;11;desempleado;5,1;FALSO
171;30;2848794;1;3905302;12;7;desempleado;4,7;FALSO
172;27;17552993;0;1149227;11;5;empleado;5,2;FALSO
173;55;12605743;0;1229425;7;8;empleado;3;FALSO
174;33;4657390;1;1347642;6;7;desempleado;11,2;FALSO
175;48;6762503;0;4659706;15;6;empleado;10,8;FALSO
176;57;2617739;0;4929438;13;12;desempleado;3,5;FALSO
177;47;4136893;1;1077322;8;3;desempleado;8,2;FALSO
178;26;16437160;0;4462830;14;1;empleado;4,5;FALSO
179;21;6468918;0;3717424;11;4;empleado;10,8;FALSO
180;27;3875298;1;1282926;9;5;desempleado;11,2;FALSO
181;31;6723522;1;3173846;9;4;autónomo;1,6;VERDADERO
182;34;6426927;1;2786827;7;7;autónomo;12,7;VERDADERO
183;44;4300396;1;2032469;14;10;desempleado;5,8;FALSO
184;23;4409900;1;2536496;6;9;desempleado;12,3;FALSO
185;47;3369414;1;3616746;2;2;desempleado;7,4;FALSO
186;44;17599289;1;4551624;4;7;autónomo;7,3;VERDADERO
187;27;2593872;1;2665260;10;12;desempleado;1,4;FALSO
188;41;6308634;1;4587226;6;6;empleado;9,2;VERDADERO
189;27;3512626;1;1102007;5;9;desempleado;1,6;FALSO
190;27;14650771;0;3885040;5;9;autónomo;3,1;FALSO
191;33;14518434;0;4357282;14;5;autónomo;11,9;FALSO
192;38;18680942;0;4811016;4;7;empleado;1;FALSO
193;22;3258043;1;1226415;3;7;desempleado;12,6;FALSO
194;40;16108335;0;3468514;10;9;empleado;3,9;FALSO
195;60;11232473;0;1143979;2;9;autónomo;3,4;FALSO
196;38;4114517;1;1707424;14;4;desempleado;7,2;FALSO
197;44;19743251;1;3742423;1;7;autónomo;13,5;VERDADERO
198;32;4111959;1;2658759;1;4;desempleado;1,4;FALSO
199;51;13918711;1;3065290;11;8;empleado;7,1;VERDADERO
200;43;20532868;1;1254707;15;6;empleado;11,6;VERDADERO
201;25;7566220;0;2602009;15;3;empleado;11,4;FALSO
202;22;2588376;1;3651632;13;11;desempleado;6,1;FALSO
203;24;8005917;0;4881484;14;1;autónomo;12,4;FALSO
204;48;4539108;0;4082785;5;2;desempleado;6,9;FALSO
205;34;3449119;1;1609878;10;10;desempleado;8,7;FALSO
206;50;10080293;1;1631352;4;4;empleado;8,1;VERDADERO
207;31;12353527;0;2233056;13;9;empleado;12,9;FALSO
208;49;19634003;0;1542436;5;7;autónomo;12,7;FALSO
209;25;3246466;0;1543835;8;5;desempleado;8,7;FALSO
210;52;16775633;0;1184822;12;2;autónomo;8,3;FALSO
211;21;10158786;0;3139667;7;8;empleado;4,1;FALSO
212;31;18871607;0;1998486;4;6;autónomo;13,5;FALSO
213;44;11088805;0;2332740;8;10;empleado;3,6;FALSO
214;30;14821274;1;2021512;10;10;autónomo;4,8;VERDADERO
215;36;9648302;0;4433545;1;6;autónomo;13,3;FALSO
216;28;18496702;1;1440497;1;11;autónomo;8,6;VERDADERO
217;45;3514255;1;2449207;10;4;desempleado;3,6;FALSO
218;56;15812360;0;2119869;6;3;autónomo;5,3;FALSO
219;31;4626786;0;3313877;2;11;desempleado;2,9;FALSO
220;26;7366403;0;1550811;5;10;empleado;7,8;FALSO
221;38;16613846;1;1830064;15;12;empleado;12,8;VERDADERO
222;50;17029334;1;2286674;11;6;empleado;12,7;VERDADERO
223;29;12321694;1;1407219;9;1;autónomo;9;VERDADERO
224;36;11882059;1;1282642;14;10;autónomo;12,9;VERDADERO
225;35;16261845;0;1517656;13;4;autónomo;12,1;FALSO
226;53;3318270;0;4970319;6;4;desempleado;3,2;FALSO
227;57;3844418;0;3671651;10;1;desempleado;2,9;FALSO
228;29;3462117;0;3911761;2;3;desempleado;10,3;FALSO
229;43;2831944;0;1385236;9;4;desempleado;9,1;FALSO
230;27;11662724;1;1056415;10;12;autónomo;0,9;VERDADERO
231;48;20415561;0;4428250;8;6;empleado;12,9;FALSO
232;55;4705024;0;2727532;12;1;desempleado;3,5;FALSO
233;36;3466233;1;3967284;8;7;desempleado;6,7;FALSO
234;28;10812116;1;2384136;9;5;empleado;7,9;VERDADERO
235;60;6020448;0;2248070;7;1;empleado;9,4;FALSO
236;24;2998134;0;4052453;14;3;desempleado;13,2;FALSO
237;21;17167435;1;4914245;2;6;empleado;5,8;VERDADERO
238;24;20817031;1;1821591;3;1;empleado;11,6;VERDADERO
239;22;18151800;1;4551169;7;6;empleado;5,4;VERDADERO
240;50;2970360;0;2666276;5;6;desempleado;9,4;FALSO
241;29;17236070;1;1534096;10;2;autónomo;3,2;VERDADERO
242;28;20862120;1;4720425;10;11;autónomo;12,7;VERDADERO
243;38;3279432;1;3045669;2;7;desempleado;9,6;FALSO
244;26;9518045;0;3111521;15;9;autónomo;8;FALSO
245;32;4308430;1;3104067;5;4;desempleado;3,3;FALSO
246;35;12636674;1;1912955;10;7;empleado;9,5;VERDADERO
247;60;2644664;0;3399967;10;7;desempleado;6,1;FALSO
248;41;3945418;0;1649828;5;10;desempleado;9,5;FALSO
249;33;12566975;0;1975516;3;5;autónomo;12,6;FALSO
250;25;8091212;1;3579227;2;2;empleado;3,5;VERDADERO
251;26;2629942;1;3663824;10;3;desempleado;11,6;FALSO
252;42;10560892;1;2549240;9;6;autónomo;11,6;VERDADERO
253;22;4798080;1;3318046;2;6;desempleado;7,1;FALSO
254;33;10893751;1;4439807;15;12;autónomo;1;VERDADERO
255;59;13742143;1;3624136;8;9;empleado;8,2;VERDADERO
256;54;13038030;0;1807100;12;2;autónomo;4,5;FALSO
257;22;8974724;1;3227824;5;12;autónomo;12,5;VERDADERO
258;36;3935294;1;4843112;3;11;desempleado;6,3;FALSO
259;21;17850236;0;4690550;1;3;autónomo;2,4;FALSO
260;42;10374640;0;1889617;15;7;autónomo;9,1;FALSO
261;59;3952231;0;3643834;3;8;desempleado;8,5;FALSO
262;46;10593216;1;3590142;6;11;autónomo;5,5;VERDADERO
263;60;9509273;1;2798384;4;3;autónomo;3;VERDADERO
264;30;3404592;1;2261196;7;4;desempleado;2,3;FALSO
265;22;13955917;1;2107181;13;11;autónomo;0,8;VERDADERO
266;28;19017819;0;1898418;2;9;autónomo;11,8;FALSO
267;43;16848149;0;3455439;9;3;autónomo;8,8;FALSO
268;44;6782134;1;4286523;10;8;empleado;9,7;VERDADERO
269;53;3047023;0;3539267;12;12;desempleado;6,7;FALSO
270;43;11856138;0;4312958;13;1;autónomo;7,5;FALSO
271;37;10758359;0;4078221;1;11;empleado;2,4;FALSO
272;58;6127076;1;3061404;2;7;empleado;6,6;VERDADERO
273;29;4201013;1;899845;2;5;desempleado;4,5;FALSO
274;27;6454184;0;3249571;13;8;empleado;3,4;FALSO
275;23;12811128;0;1082335;13;7;autónomo;1,7;FALSO
276;25;15444869;1;2848572;13;3;empleado;11,3;VERDADERO
277;28;17839285;1;1676242;1;12;autónomo;12,7;VERDADERO
278;27;4218552;1;1165328;9;3;desempleado;1,1;FALSO
279;55;2592628;0;2848789;10;11;desempleado;10,2;FALSO
280;55;3725569;1;3711873;10;10;desempleado;1,9;FALSO
281;47;4403039;0;3500117;13;12;desempleado;7,4;FALSO
282;52;8360303;1;4943870;1;1;autónomo;10,4;VERDADERO
283;31;11543035;0;3013464;12;2;autónomo;10,8;FALSO
284;37;20798049;1;4258684;13;1;empleado;9,2;VERDADERO
285;37;7056898;1;4296744;3;8;autónomo;1,9;VERDADERO
286;40;17948598;0;4707206;3;5;empleado;5,6;FALSO
287;37;4171798;0;4645589;15;7;desempleado;6,9;FALSO
288;47;2977516;1;3192725;15;8;desempleado;10,1;FALSO
289;51;17744140;1;4090571;11;2;autónomo;2,4;VERDADERO
290;37;3532329;1;3645658;15;10;desempleado;1,6;FALSO
291;27;6184848;0;2910925;4;6;empleado;1,3;FALSO
292;48;14194212;1;2308599;5;10;empleado;0,9;VERDADERO
293;55;8103478;0;990376;6;8;empleado;2,2;FALSO
294;37;18124973;1;2493250;4;4;empleado;5,8;VERDADERO
295;44;2527392;0;1085861;4;5;desempleado;1;FALSO
296;56;2985631;0;1737134;6;10;desempleado;3;FALSO
297;57;14161605;1;2846734;4;3;autónomo;5,5;VERDADERO
298;26;4313775;1;1586747;6;2;desempleado;2,1;FALSO
299;47;16940021;0;3504681;3;5;empleado;9,9;FALSO
300;28;16958318;0;1039582;8;9;autónomo;10,3;FALSO
301;48;7331704;1;2613633;3;12;autónomo;9,6;VERDADERO
302;27;16485407;1;1725909;2;8;empleado;3,1;VERDADERO
303;48;11402572;1;3488110;5;2;empleado;8,2;VERDADERO
304;34;12482621;1;1082663;12;3;autónomo;10,7;VERDADERO
305;32;9736488;1;1076554;2;6;empleado;6,4;VERDADERO
306;27;6787415;0;3007385;13;9;autónomo;8,5;FALSO
307;33;3729687;0;4440162;15;11;desempleado;5,4;FALSO
308;35;19681571;0;1228318;15;11;empleado;6,8;FALSO
309;42;12528109;0;1270128;7;4;autónomo;4;FALSO
310;31;4528900;0;4553091;10;1;desempleado;12;FALSO
311;57;12876535;0;925114;15;12;empleado;5,2;FALSO
312;41;6386700;1;3171556;5;8;empleado;0,9;VERDADERO
313;21;16757545;1;2852816;15;9;autónomo;2,4;VERDADERO
314;50;20906123;1;3508093;8;1;autónomo;6,7;VERDADERO
315;25;2612933;0;2161932;6;1;desempleado;2;FALSO
316;35;2900604;1;1693223;7;9;desempleado;11,7;FALSO
317;32;3843234;0;3248981;10;11;desempleado;0,9;FALSO
318;49;6216184;0;2251805;15;1;autónomo;4,8;FALSO
319;39;3438476;0;4355941;8;4;desempleado;5,5;FALSO
320;47;6984631;0;2442497;3;12;autónomo;2,4;FALSO
321;60;17452169;0;2171606;1;10;empleado;8,7;FALSO
322;30;8721454;1;4624314;6;7;autónomo;12,9;VERDADERO
323;55;18891981;0;1789757;10;12;empleado;8,1;FALSO
324;54;15370377;1;2586515;10;12;empleado;8,5;VERDADERO
325;56;10556528;1;4285973;6;10;autónomo;13,4;VERDADERO
326;23;3757506;1;4786770;4;9;desempleado;7,7;FALSO
327;43;20455544;1;3205066;4;9;autónomo;10,5;VERDADERO
328;48;16253936;1;872321;3;4;autónomo;4,9;VERDADERO
329;55;20391355;0;4073709;4;11;autónomo;5,6;FALSO
330;58;3029514;1;2146107;8;6;desempleado;13,4;FALSO
331;49;3626489;1;3898020;11;11;desempleado;12,8;FALSO
332;41;9424746;0;1734884;14;1;autónomo;7,4;FALSO
333;33;9979798;1;4719745;2;10;empleado;12,7;VERDADERO
334;29;17628953;0;1245470;14;6;autónomo;0,7;FALSO
335;30;2469934;0;1614618;10;11;desempleado;5,4;FALSO
336;39;4403285;1;1315229;3;6;desempleado;13,2;FALSO
337;41;3824652;1;4227379;7;3;desempleado;8,7;FALSO
338;28;12305500;0;3287505;2;1;empleado;8,1;FALSO
339;60;20845812;1;2292873;13;9;empleado;11;VERDADERO
340;28;15059710;0;4068225;8;5;autónomo;5,5;FALSO
341;32;13013615;0;1291104;6;12;autónomo;6,7;FALSO
342;55;3194246;0;2169392;2;2;desempleado;10;FALSO
343;57;10645901;1;1104666;9;2;empleado;8,8;VERDADERO
344;42;4415807;1;3089564;5;12;desempleado;11,4;FALSO
345;59;2700785;1;4934792;14;7;desempleado;12,4;FALSO
346;44;9207221;1;3601878;3;4;autónomo;1,8;VERDADERO
347;22;2741267;0;2040551;14;2;desempleado;2,1;FALSO
348;38;4113825;0;1260368;9;7;desempleado;1,5;FALSO
349;53;18217101;1;1009341;3;9;empleado;8,6;VERDADERO
350;33;14527649;0;2877557;7;10;autónomo;1,8;FALSO
351;57;17615120;1;1401710;10;2;autónomo;4,6;VERDADERO
352;46;2620715;0;1054425;8;2;desempleado;1,4;FALSO
353;60;14629002;0;2370663;11;6;empleado;8,9;FALSO
354;41;2941967;1;1539533;8;9;desempleado;1,1;FALSO
355;53;14520491;1;2823523;5;10;empleado;5,7;VERDADERO
356;42;20588400;1;1949269;15;12;empleado;9,7;VERDADERO
357;44;13846190;0;1614514;3;4;empleado;6,1;FALSO
358;50;10046049;0;4159133;13;10;autónomo;11;FALSO
359;58;17206783;0;4659027;4;4;autónomo;8,9;FALSO
360;32;17512546;1;4768681;11;9;autónomo;7,9;VERDADERO
361;31;20456005;1;1935699;6;6;empleado;8,2;VERDADERO
362;31;8918954;1;1091238;7;11;autónomo;12,4;VERDADERO
363;37;10147744;1;2614468;4;1;autónomo;0,7;VERDADERO
364;25;4576928;1;860145;2;9;desempleado;1,8;FALSO
365;43;2618360;1;3390775;14;5;desempleado;6;FALSO
366;60;20918887;0;1207530;2;9;empleado;4,3;FALSO
367;43;11180288;1;2969050;9;4;empleado;7,1;VERDADERO
368;23;7337877;0;3654862;3;4;autónomo;11,4;FALSO
369;25;15365808;0;2916387;2;12;autónomo;1,6;FALSO
370;43;2949980;0;1239069;14;10;desempleado;10,7;FALSO
371;56;3395870;0;4992624;1;5;desempleado;7,7;FALSO
372;39;11895455;1;1286254;9;3;empleado;4;VERDADERO
373;36;6881252;1;3081242;9;12;empleado;5,4;VERDADERO
374;56;15197446;1;2396213;4;8;empleado;10,6;VERDADERO
375;51;7917404;0;3466241;4;6;empleado;5,8;FALSO
376;58;4287235;1;1270545;2;11;desempleado;8,9;FALSO
377;37;14906314;1;4547583;11;1;empleado;2,1;VERDADERO
378;60;7788395;0;2773457;8;6;autónomo;5,4;FALSO
379;55;20240251;0;4406881;5;5;empleado;11,9;FALSO
380;33;2640629;0;1064676;4;4;desempleado;12;FALSO
381;52;16605629;1;3836149;4;4;autónomo;4,2;VERDADERO
382;30;20030923;1;4781011;10;11;empleado;2,5;VERDADERO
383;25;11988623;1;2566668;5;10;autónomo;11,3;VERDADERO
384;39;16604160;0;3128429;9;5;empleado;0,8;FALSO
385;21;2694854;0;4661401;6;5;desempleado;1,8;FALSO
386;48;4625854;1;3773332;8;6;desempleado;7,2;FALSO
387;23;18931268;0;2843996;1;4;autónomo;12,4;FALSO
388;32;2853263;0;2540243;3;5;desempleado;2,4;FALSO
389;30;9729711;1;2624702;9;10;autónomo;10,3;VERDADERO
390;44;6017286;1;2265351;10;6;autónomo;1,5;VERDADERO
391;51;10899401;1;4607844;2;5;empleado;2,2;VERDADERO
392;35;20186525;1;973913;3;8;autónomo;12,2;VERDADERO
393;28;13583420;0;1425545;6;6;autónomo;11,5;FALSO
394;33;18906401;0;1972293;14;9;autónomo;11,6;FALSO
395;48;3841853;0;4173026;13;8;desempleado;5,7;FALSO
396;22;4130749;1;3639987;7;8;desempleado;13;FALSO
397;47;9885112;0;1850908;5;8;autónomo;7,2;FALSO
398;27;10681374;0;3035354;9;10;empleado;13,3;FALSO
399;38;16419008;0;4330647;4;8;empleado;4,3;FALSO
400;58;3457511;1;3351236;7;9;desempleado;8,6;FALSO
401;54;12851974;0;2509525;6;9;empleado;11,2;FALSO
402;53;13017444;0;1962542;3;10;empleado;5,4;FALSO
403;48;14922752;1;1580066;8;4;autónomo;5;VERDADERO
404;41;13003242;0;4883341;11;1;autónomo;11,6;FALSO
405;60;3765968;1;4363259;15;3;desempleado;12;FALSO
406;52;4185397;1;2552015;1;7;desempleado;7,6;FALSO
407;27;2520892;1;1055170;9;3;desempleado;5,8;FALSO
408;28;16031636;1;1490576;9;9;empleado;1,1;VERDADERO
409;28;20640766;0;4781644;9;1;empleado;12,1;FALSO
410;28;4620406;0;4574303;12;9;desempleado;7,3;FALSO
411;24;7732778;0;2730919;4;8;autónomo;1,1;FALSO
412;55;11282520;0;1755832;9;12;autónomo;4,6;FALSO
413;55;20472021;0;1347078;15;6;autónomo;6,7;FALSO
414;23;3052079;0;2510399;8;2;desempleado;4;FALSO
415;24;4563146;0;3101741;5;6;desempleado;8,5;FALSO
416;54;19874774;1;2202976;10;8;empleado;8,4;VERDADERO
417;35;4165285;1;4087771;8;7;desempleado;5;FALSO
418;56;18173046;0;2686742;3;8;autónomo;11;FALSO
419;31;8986327;0;1828383;15;3;empleado;12,1;FALSO
420;47;12303593;0;3929782;13;5;autónomo;6,9;FALSO
421;23;18700033;0;2834885;2;8;autónomo;7,7;FALSO
422;47;7241672;0;3082621;6;4;autónomo;7,8;FALSO
423;47;4355910;0;1238451;1;2;desempleado;1,3;FALSO
424;45;4177487;1;2237163;6;12;desempleado;5,1;FALSO
425;32;4075209;1;4281991;9;11;desempleado;3,3;FALSO
426;24;12951953;1;3991583;4;5;autónomo;9,4;VERDADERO
427;57;3539035;0;2878667;10;6;desempleado;5,8;FALSO
428;47;14296623;1;3417700;14;8;autónomo;9,2;VERDADERO
429;36;17308830;0;3064033;8;7;autónomo;1;FALSO
430;34;3581572;0;954129;2;2;desempleado;3;FALSO
